acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,full_charge,group_charge,hour,Formatted_address,Lat,Long
1 IPC 1860,"PANCHSHEEL MARG, ASHOKA HOTEL PARKING, CHANAKYA PURI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165007170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170005,4,2017-01-05,CHANKYA PURI,13:00,186/353,11:00,11:00,Disobedience to pub. Serv. Order-hurting public servant,Disobedience to pub. Serv. Order-hurting public servant,11.0,"50-B, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",28.5970213,77.19589690000002
1 IPC 1860,"PANCHSHEEL MARG, ASHOKA HOTEL PARKING, CHANAKYA PURI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165007170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170005,4,2017-01-05,CHANKYA PURI,13:00,186/353,11:00,11:00,Disobedience to pub. Serv. Order-hurting public servant,Disobedience to pub. Serv. Order-hurting public servant,11.0,"50-B, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",28.596981300000003,77.1958808
1 IPC 1860,"H.NO. 773, 7TH FLOOR, BLOCK-7, BAPU DHAM, CHANAKYA PURI, NEW DELHI",2014-04-21,2016-04-11,INTERVENING DAY,NEW DELHI,8165007170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170006,,2017-01-07,CHANKYA PURI,13:30,498A/406/34,00:00,00:00,Criminal breach of trust-domestic abuse,domestic abuse,0.0,"Bapu dham, Chanakyapuri, New Delhi, Delhi 110021, India",28.5956727,77.1751171
1 IPC 1860,"H.NO. 773, 7TH FLOOR, BLOCK-7, BAPU DHAM, CHANAKYA PURI, NEW DELHI",2014-04-21,2016-04-11,INTERVENING DAY,NEW DELHI,8165007170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170006,,2017-01-07,CHANKYA PURI,13:30,498A/406/34,00:00,00:00,Criminal breach of trust-domestic abuse,domestic abuse,0.0,"Bapu dham, Chanakyapuri, New Delhi, Delhi 110021, India",28.5956727,77.1751171
1 IPC 1860,MTC ROAD NEAR 11 MURTI,2017-01-13,2017-01-13,Friday,NEW DELHI,8165007170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170008,7,2017-01-13,CHANKYA PURI,22:20,279/337,20:25,20:25,Rash driving-endangering safety of others,Rash driving,20.0,"4th Block, Kottapalya, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India",12.9198594,77.5897229
1 IPC 1860,MTC ROAD NEAR 11 MURTI,2017-01-13,2017-01-13,Friday,NEW DELHI,8165007170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170008,7,2017-01-13,CHANKYA PURI,22:20,279/337,20:25,20:25,Rash driving-endangering safety of others,Rash driving,20.0,"4th Block, Kottapalya, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India",12.9198594,77.5897229
1 IPC 1860,"D-I,D-II, VINAY MARG, INFRONT OF PALIKA CLUB, CHANAKYA PURI, NEW DELHI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165007170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170013,8,2017-01-31,CHANKYA PURI,23:30,279/337,21:47,23:20,Rash driving-endangering safety of others,Rash driving,21.0,"Vinay Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5868678,77.193489
1 IPC 1860,"D-I,D-II, VINAY MARG, INFRONT OF PALIKA CLUB, CHANAKYA PURI, NEW DELHI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165007170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170013,8,2017-01-31,CHANKYA PURI,23:30,279/337,21:47,23:20,Rash driving-endangering safety of others,Rash driving,21.0,"Vinay Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5868678,77.193489
1 IPC 1860,"SHANTI PATH, NEAR PAKISTAN EMBASSY, NEW DELHI",2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170014,,2017-02-02,CHANKYA PURI,22:25,279/337,20:00,22:10,Rash driving-endangering safety of others,Rash driving,20.0,"No. 2/50-G, Shantipath, Chanakyapuri, New Delhi, Delhi 110021, India",28.5940994,77.19033950000002
1 IPC 1860,"SHANTI PATH, NEAR PAKISTAN EMBASSY, NEW DELHI",2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170014,,2017-02-02,CHANKYA PURI,22:25,279/337,20:00,22:10,Rash driving-endangering safety of others,Rash driving,20.0,"No. 2/50-G, Shantipath, Chanakyapuri, New Delhi, Delhi 110021, India",28.5940994,77.19033950000002
