acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,Formatted_address,Lat,Long,full_charge,group_charge,hour
1 IPC 1860,"PANCHSHEEL MARG, ASHOKA HOTEL PARKING, CHANAKYA PURI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165007170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170005,4,2017-05-01,CHANKYA PURI,13:00,186/353,11:00,11:00,"50-B, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",28.596981300000003,77.1958808,Disobedience to pub. Serv. Order-hurting public servant,Others,11.0
1 IPC 1860,"H.NO. 773, 7TH FLOOR, BLOCK-7, BAPU DHAM, CHANAKYA PURI, NEW DELHI",2014-04-21,2016-04-11,INTERVENING DAY,NEW DELHI,8165007170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170006,0,2017-07-01,CHANKYA PURI,13:30,498A/406/34,00:00,00:00,"Bapu dham, Chanakyapuri, New Delhi, Delhi 110021, India",28.5956727,77.1751171,Criminal breach of trust-domestic abuse,domestic abuse,0.0
1 IPC 1860,MTC ROAD NEAR 11 MURTI,2017-01-13,2017-01-13,Friday,NEW DELHI,8165007170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170008,7,2017-01-13,CHANKYA PURI,22:20,279/337,20:25,20:25,"4th Block, Kottapalya, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India",12.9198594,77.5897229,Rash driving-endangering safety of others,Rash driving,20.0
1 IPC 1860,"D-I,D-II, VINAY MARG, INFRONT OF PALIKA CLUB, CHANAKYA PURI, NEW DELHI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165007170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170013,8,2017-01-31,CHANKYA PURI,23:30,279/337,21:47,23:20,"Vinay Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5868678,77.193489,Rash driving-endangering safety of others,Rash driving,21.0
1 IPC 1860,"SHANTI PATH, NEAR PAKISTAN EMBASSY, NEW DELHI",2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170014,0,2017-02-02,CHANKYA PURI,22:25,279/337,20:00,22:10,"No. 2/50-G, Shantipath, Chanakyapuri, New Delhi, Delhi 110021, India",28.5940994,77.19033950000002,Rash driving-endangering safety of others,Rash driving,20.0
1 IPC 1860,CHANAKYA PURI,2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170016,4,2017-04-02,CHANKYA PURI,19:35,420,12:00,12:00,"Chanakyapuri, New Delhi, Delhi, India",28.5938532,77.18873640000002,cheating,cheating,12.0
1 IPC 1860,"NITI MARG, CHANAKYA PURI, NEW DELHI",2017-02-05,2017-02-05,Sunday,NEW DELHI,8165007170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170017,0,2017-05-02,CHANKYA PURI,06:10,279/304A,02:10,05:50,"Niti Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5920212,77.1916795,Negligence conduct-Rash driving,Rash driving,2.0
1 IPC 1860,"15, TEEN MURTI LANE, CHANAKYA PURI, NEW DELHI",2017-02-13,2017-02-13,Monday,NEW DELHI,8165007170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170018,0,2017-02-13,CHANKYA PURI,16:35,420,08:30,16:30,"Teen Murti Cir, Palika Vihar, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110011, India",28.6047019,77.198436,cheating,cheating,8.0
1 IPC 1860,"SAN MARTIN MARG NEAR ABHAY MARG, CHANAKYA PURI, NEW DELHI",2017-02-25,2017-02-25,Saturday,NEW DELHI,8165007170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170020,1,2017-02-25,CHANKYA PURI,19:45,279/304A,00:00,00:00,"Abai Marg, Chanakyapuri, New Delhi, Delhi 110021, India",28.5930728,77.1713245,Negligence conduct-Rash driving,Rash driving,0.0
1 IPC 1860,"SPM NEAR SADHU SAMAJ BUS STAND, CHANAKYA PURI, NEW DELHI",2017-03-14,2017-03-14,Tuesday,NEW DELHI,8165007170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170024,0,2017-03-14,CHANKYA PURI,10:05,279/337,00:00,09:45,"Sardar Patel Marg, Malcha, New Delhi, Delhi 110021, India",28.6038005,77.1839091,Rash driving-endangering safety of others,Rash driving,0.0
