acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,full_charge,group_charge
1 IPC 1860,"JHUGGI NO. A-603, SANJAY CAMP, CHANAKYA PURI, NEW DELHI",2017-01-01,2017-01-01,Sunday,NEW DELHI,8165007170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170003,4,2017-01-01,CHANKYA PURI,23:40,363,11:00,11:00,Kidnapping,Kidnapping
1 IPC 1860,"PANCHSHEEL MARG, ASHOKA HOTEL PARKING, CHANAKYA PURI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165007170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170005,4,2017-01-05,CHANKYA PURI,13:00,186/353,11:00,11:00,Disobedience to pub. Serv. Order-hurting public servant,Disobedience to pub. Serv. Order-hurting public servant
1 IPC 1860,"H.NO. 773, 7TH FLOOR, BLOCK-7, BAPU DHAM, CHANAKYA PURI, NEW DELHI",2014-04-21,2016-04-11,INTERVENING DAY,NEW DELHI,8165007170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170006,,2017-01-07,CHANKYA PURI,13:30,498A/406/34,00:00,00:00,Criminal breach of trust-domestic abuse,domestic abuse
1 IPC 1860,"RIDGE ROAD TOWARDS KAROL BAGH, NEAR SIMON BOLIVER RED LIGHT, CHANAKYA PURI",2017-01-01,2017-01-01,Sunday,NEW DELHI,8165007170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170007,6,2017-01-08,CHANKYA PURI,09:20,279/337,17:20,17:20,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,MTC ROAD NEAR 11 MURTI,2017-01-13,2017-01-13,Friday,NEW DELHI,8165007170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170008,7,2017-01-13,CHANKYA PURI,22:20,279/337,20:25,20:25,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"SP MARG NEAR PANCHSHEEL RED LIGHT TOWARDS 11 MURTI, CHANAKYA PURI",2017-01-15,2017-01-15,Sunday,NEW DELHI,8165007170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170009,1,2017-01-15,CHANKYA PURI,06:30,429,01:00,01:00,mischief by killing,Others
1 IPC 1860,"NEAR SP MARG BUS STOP, SP MARG, CH.PURI ND",2017-01-19,2017-01-19,Thursday,NEW DELHI,8165007170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170010,2,2017-01-19,CHANKYA PURI,10:15,279/337,06:15,06:15,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"USA EMBASSY, CHANAKYA PURI, NEW DELHI",,,,NEW DELHI,8165007170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170011,,2016-06-14,CHANKYA PURI,14:20,468/471,,,cheating,cheating
1 IPC 1860,"D-I,D-II, VINAY MARG, INFRONT OF PALIKA CLUB, CHANAKYA PURI, NEW DELHI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165007170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170013,8,2017-01-31,CHANKYA PURI,23:30,279/337,21:47,23:20,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"SHANTI PATH, NEAR PAKISTAN EMBASSY, NEW DELHI",2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170014,,2017-02-02,CHANKYA PURI,22:25,279/337,20:00,22:10,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"JHUGGI, SANJAY CAMP, CHANAKYA PURI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165007170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170015,6,2017-02-03,CHANKYA PURI,08:10,363,17:00,17:00,Kidnapping,Kidnapping
1 IPC 1860,CHANAKYA PURI,2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170016,4,2017-02-04,CHANKYA PURI,19:35,420,12:00,12:00,cheating,cheating
1 IPC 1860,"NITI MARG, CHANAKYA PURI, NEW DELHI",2017-02-05,2017-02-05,Sunday,NEW DELHI,8165007170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170017,,2017-02-05,CHANKYA PURI,06:10,279/304A,02:10,05:50,Negligence conduct-Rash driving,Rash driving
1 IPC 1860,"15, TEEN MURTI LANE, CHANAKYA PURI, NEW DELHI",2017-02-13,2017-02-13,Monday,NEW DELHI,8165007170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170018,,2017-02-13,CHANKYA PURI,16:35,420,08:30,16:30,cheating,cheating
1 IPC 1860,"POLAND EMBASSY, CHANAKYA PURI, NEW DELHI",,,,NEW DELHI,8165007170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170019,,2017-02-20,CHANKYA PURI,16:00,288/304A,,,Negligence conduct-Negligent conduct,Negligence conduct-Negligent conduct
1 IPC 1860,"SAN MARTIN MARG NEAR ABHAY MARG, CHANAKYA PURI, NEW DELHI",2017-02-25,2017-02-25,Saturday,NEW DELHI,8165007170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170020,1,2017-02-25,CHANKYA PURI,19:45,279/304A,00:00,00:00,Negligence conduct-Rash driving,Rash driving
1 IPC 1860,"MTC ROAD BEFORE, ARMY GROUND GATE",2017-03-03,2017-03-03,Friday,NEW DELHI,8165007170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170021,4,2017-03-03,CHANKYA PURI,12:20,392/34,10:10,12:00,Robbery,Robbery
1 IPC 1860,"RIDZE ROAD BUDHA GARDEN, GATE NO.‘I TO DHAULA KAUAN SIDE",2017-03-03,2017-03-03,Friday,NEW DELHI,8165007170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170022,4,2017-03-03,CHANKYA PURI,12:40,279/337,09:30,12:15,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"SHANTI PATH NYAY MARG, GOL CHAKKAR CHANAKYA PURI, NEW DELHI",2017-03-10,2017-03-10,Friday,NEW DELHI,8165007170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170023,,2017-03-10,CHANKYA PURI,18:05,279/337,12:17,17:45,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"SPM NEAR SADHU SAMAJ BUS STAND, CHANAKYA PURI, NEW DELHI",2017-03-14,2017-03-14,Tuesday,NEW DELHI,8165007170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170024,,2017-03-14,CHANKYA PURI,10:05,279/337,00:00,09:45,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"NEAR NALA 11 MURTI, CHANAKYA PURI, NEW DELHI",2017-03-18,2017-03-18,Saturday,NEW DELHI,8165007170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170025,2,2017-03-18,CHANKYA PURI,05:15,392/34,03:30,05:00,Robbery,Robbery
1 IPC 1860,"H.NO. 71, TEEN MURTI POLICE COUMPOUND, CHANAKYA PURI",2017-03-27,2017-03-27,Monday,NEW DELHI,8165007170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170026,6,2017-03-28,CHANKYA PURI,12:32,363,18:30,18:30,Kidnapping,Kidnapping
