acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto
1 IPC 1860,"JHUGGI NO. A-603, SANJAY CAMP, CHANAKYA PURI, NEW DELHI",2017-01-01,2017-01-01,Sunday,NEW DELHI,8165007170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170003,4,2017-01-01,CHANKYA PURI,23:40,363,11:00,11:00
"1 DELHI EXCISE ACT, 2009","ARMY BATTLE HONOURS MESS MARG, NEAR OFFICERS MESS MAIN GATE, CHANAKYA PURI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165007170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170004,3,2017-01-05,CHANKYA PURI,12:45,33,09:30,09:30
1 IPC 1860,"PANCHSHEEL MARG, ASHOKA HOTEL PARKING, CHANAKYA PURI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165007170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170005,4,2017-01-05,CHANKYA PURI,13:00,186/353,11:00,11:00
1 IPC 1860,"H.NO. 773, 7TH FLOOR, BLOCK-7, BAPU DHAM, CHANAKYA PURI, NEW DELHI",2014-04-21,2016-04-11,INTERVENING DAY,NEW DELHI,8165007170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170006,,2017-01-07,CHANKYA PURI,13:30,498A/406/34,00:00,00:00
1 IPC 1860,"RIDGE ROAD TOWARDS KAROL BAGH, NEAR SIMON BOLIVER RED LIGHT, CHANAKYA PURI",2017-01-01,2017-01-01,Sunday,NEW DELHI,8165007170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170007,6,2017-01-08,CHANKYA PURI,09:20,279/337,17:20,17:20
1 IPC 1860,MTC ROAD NEAR 11 MURTI,2017-01-13,2017-01-13,Friday,NEW DELHI,8165007170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170008,7,2017-01-13,CHANKYA PURI,22:20,279/337,20:25,20:25
1 IPC 1860,"SP MARG NEAR PANCHSHEEL RED LIGHT TOWARDS 11 MURTI, CHANAKYA PURI",2017-01-15,2017-01-15,Sunday,NEW DELHI,8165007170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170009,1,2017-01-15,CHANKYA PURI,06:30,429,01:00,01:00
1 IPC 1860,"NEAR SP MARG BUS STOP, SP MARG, CH.PURI ND",2017-01-19,2017-01-19,Thursday,NEW DELHI,8165007170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170010,2,2017-01-19,CHANKYA PURI,10:15,279/337,06:15,06:15
1 IPC 1860,"USA EMBASSY, CHANAKYA PURI, NEW DELHI",,,,NEW DELHI,8165007170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170011,,2016-06-14,CHANKYA PURI,14:20,468/471,,
"1 DELHI EXCISE ACT, 2009","UPPER RIZE ROAD IN FRONT OF, BUDHA GARDEN, CHANAKYA PURI",2016-10-19,2016-10-19,Wednesday,NEW DELHI,8165007170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170012,1,2017-01-27,CHANKYA PURI,22:10,33,00:00,00:00
1 IPC 1860,"D-I,D-II, VINAY MARG, INFRONT OF PALIKA CLUB, CHANAKYA PURI, NEW DELHI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165007170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170013,8,2017-01-31,CHANKYA PURI,23:30,279/337,21:47,23:20
1 IPC 1860,"SHANTI PATH, NEAR PAKISTAN EMBASSY, NEW DELHI",2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170014,,2017-02-02,CHANKYA PURI,22:25,279/337,20:00,22:10
1 IPC 1860,"JHUGGI, SANJAY CAMP, CHANAKYA PURI",2017-01-31,2017-01-31,Tuesday,NEW DELHI,8165007170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170015,6,2017-02-03,CHANKYA PURI,08:10,363,17:00,17:00
1 IPC 1860,CHANAKYA PURI,2017-02-02,2017-02-02,Thursday,NEW DELHI,8165007170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170016,4,2017-02-04,CHANKYA PURI,19:35,420,12:00,12:00
1 IPC 1860,"NITI MARG, CHANAKYA PURI, NEW DELHI",2017-02-05,2017-02-05,Sunday,NEW DELHI,8165007170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170017,,2017-02-05,CHANKYA PURI,06:10,279/304A,02:10,05:50
1 IPC 1860,"15, TEEN MURTI LANE, CHANAKYA PURI, NEW DELHI",2017-02-13,2017-02-13,Monday,NEW DELHI,8165007170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170018,,2017-02-13,CHANKYA PURI,16:35,420,08:30,16:30
1 IPC 1860,"POLAND EMBASSY, CHANAKYA PURI, NEW DELHI",,,,NEW DELHI,8165007170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170019,,2017-02-20,CHANKYA PURI,16:00,288/304A,,
1 IPC 1860,"SAN MARTIN MARG NEAR ABHAY MARG, CHANAKYA PURI, NEW DELHI",2017-02-25,2017-02-25,Saturday,NEW DELHI,8165007170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170020,1,2017-02-25,CHANKYA PURI,19:45,279/304A,00:00,00:00
1 IPC 1860,"MTC ROAD BEFORE, ARMY GROUND GATE",2017-03-03,2017-03-03,Friday,NEW DELHI,8165007170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170021,4,2017-03-03,CHANKYA PURI,12:20,392/34,10:10,12:00
1 IPC 1860,"RIDZE ROAD BUDHA GARDEN, GATE NO.‘I TO DHAULA KAUAN SIDE",2017-03-03,2017-03-03,Friday,NEW DELHI,8165007170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170022,4,2017-03-03,CHANKYA PURI,12:40,279/337,09:30,12:15
1 IPC 1860,"SHANTI PATH NYAY MARG, GOL CHAKKAR CHANAKYA PURI, NEW DELHI",2017-03-10,2017-03-10,Friday,NEW DELHI,8165007170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170023,,2017-03-10,CHANKYA PURI,18:05,279/337,12:17,17:45
1 IPC 1860,"SPM NEAR SADHU SAMAJ BUS STAND, CHANAKYA PURI, NEW DELHI",2017-03-14,2017-03-14,Tuesday,NEW DELHI,8165007170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170024,,2017-03-14,CHANKYA PURI,10:05,279/337,00:00,09:45
1 IPC 1860,"NEAR NALA 11 MURTI, CHANAKYA PURI, NEW DELHI",2017-03-18,2017-03-18,Saturday,NEW DELHI,8165007170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170025,2,2017-03-18,CHANKYA PURI,05:15,392/34,03:30,05:00
1 IPC 1860,"H.NO. 71, TEEN MURTI POLICE COUMPOUND, CHANAKYA PURI",2017-03-27,2017-03-27,Monday,NEW DELHI,8165007170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170026,6,2017-03-28,CHANKYA PURI,12:32,363,18:30,18:30
1 IPC 1860,"G-AVENUE, NEAR D 1-D 2 FLATS, CHANAKYA PURI, NEW DELHI",2017-03-29,2017-03-29,Wednesday,NEW DELHI,8165007170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170027,7,2017-03-29,CHANKYA PURI,23:15,379/356/34,21:40,21:45
1 DELHI PUBLIC GAMBLING A,"NEHUR PARK, GATE VINAY MARG, NEW DELHI",2017-04-01,2017-04-01,Saturday,NEW DELHI,8165007170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170028,7,2017-04-01,CHANKYA PURI,19:45,12/9/55,18:20,19:30
1 IPC 1860,"IN FRONT OF US EMBASSY, CH PURI, NEW DELHI",2017-04-01,2017-04-01,Saturday,NEW DELHI,8165007170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170029,,2017-04-01,CHANKYA PURI,23:05,354(D)/509/34,17:00,23:00
1 IPC 1860,"D-1/175, SATYA MARG, CHANAKYA PURI, NEW DELHI",2017-04-02,2017-04-02,Sunday,NEW DELHI,8165007170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170030,,2017-04-02,CHANKYA PURI,10:40,380/457,00:00,10:10
1 IPC 1860,"INFRONT OF ETHOPIA CULTURE CENTRE, CHANAKYA PURI, NEW DELHI",2017-04-02,2017-04-02,Sunday,NEW DELHI,8165007170031.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165007170031,8,2017-04-02,CHANKYA PURI,22:35,379/356/34,21:15,22:15
1 IPC 1860,OPD IST FLOOR EYE DEPARTMENT % amen NEW DELHI,2016-12-27,2016-12-27,Tuesday,NEW DELHI,8165038170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170002,4,2017-01-02,NORTH AVENUE,18:10,328/380,09:00,11:00
1 IPC 1860,"Uﬁaﬁq-Td mn‘ CROSSING 143%? ﬁrst, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165038170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170003,4,2017-01-05,NORTH AVENUE,13:30,279/337,11:15,11:15
1 IPC 1860,"P.P. MARG, ON ROAD,, NEAR GOAL DAK KHANA,, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165038170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170004,8,2017-01-05,NORTH AVENUE,23:40,356/379,22:30,22:30
1 IPC 1860,"H.NO. 254, TYPE-1, K-BLOCK, KALI BARI MARG N.AVENUE, N.D.",,,,NEW DELHI,8165038170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170005,,2017-01-07,NORTH AVENUE,19:40,380,,
1 IPC 1860,"arm-an ﬁg HUI—c: BUS STOP, NEW DELHI",2017-01-07,2017-01-07,Saturday,NEW DELHI,8165038170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170006,7,2017-01-07,NORTH AVENUE,21:55,279/337,19:30,19:30
1 IPC 1860,"38, GURUDWARA RAKAB GANJ ROAD, STAFF QUATER, NEW DELHI",2017-01-14,2017-01-14,Saturday,NEW DELHI,8165038170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170007,7,2017-01-14,NORTH AVENUE,21:15,363,20:00,20:00
1 IPC 1860,"RML HOSPITAL, NEW DELHI",2017-01-15,2017-01-15,Sunday,NEW DELHI,8165038170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170008,2,2017-01-15,NORTH AVENUE,08:40,380,06:00,06:00
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 816503808",,,,NEW DELHI,8165038170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170009,,,NORTH AVENUE,,354,15/01/2017,15/01/2017
1 IPC 1860,"B.K.S MARG N.D.P.O., BUS STAND, NEW DELHI",2017-01-18,2017-01-18,Wednesday,NEW DELHI,8165038170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170010,4,2017-01-18,NORTH AVENUE,12:15,279/337,11:30,11:30
1 IPC 1860,"NEAR GATE No.6 RML HOSPITAL, INFRONT OF LOUNDRY, NEW DELHI",2017-01-20,2017-01-20,Friday,NEW DELHI,8165038170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170011,,2017-01-20,NORTH AVENUE,19:00,379/427,14:00,16:00
1 IPC 1860,"ECS 1ST FLOOR EMERGENCY, RML HOSPITAL, NEW DELHI",2017-01-23,2017-01-23,Monday,NEW DELHI,8165038170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170012,1,2017-01-23,NORTH AVENUE,07:50,379,02:00,02:00
1 IPC 1860,"14 PANDIT PANT MARG, NEW DELHI",2017-02-01,2017-02-01,Wednesday,NEW DELHI,8165038170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170013,5,2017-02-01,NORTH AVENUE,14:43,379,14:20,14:20
1 IPC 1860,"ROOM NO. 15 GYNEE OPD, DR. RML HOSPITAL, NEW DELHI",2017-02-03,2017-02-03,Friday,NEW DELHI,8165038170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170014,,2017-02-04,NORTH AVENUE,13:25,380,14:00,16:30
1 IPC 1860,"IN FRONT OF 8 GURUDWARA RAKAB GANJ, ROAD DELHI, NEW DELHI",2017-02-04,2017-02-04,Saturday,NEW DELHI,8165038170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170015,7,2017-02-05,NORTH AVENUE,15:15,379,19:00,19:00
1 IPC 1860,"PANDIT PANT MARG 143123 ROAD, m :ﬁm Thar mm, N.D.",2017-02-07,2017-02-07,Tuesday,NEW DELHI,8165038170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170016,6,2017-02-07,NORTH AVENUE,17:30,279,16:00,16:00
1 IPC 1860,"JHUGGI 33/103, G-POINT KALI BARI ND, NEW DELHI",2017-02-07,2017-02-07,Tuesday,NEW DELHI,8165038170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170017,7,2017-02-08,NORTH AVENUE,09:00,452/354/323,19:20,19:20
1 IPC 1860,,2017-02-23,2017-02-23,Thursday,NEW DELHI,8165038170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170018,4,2017-02-23,NORTH AVENUE,13:45,419/420/34,10:30,11:00
1 IPC 1860,NORTH AVENUE RD. MP FLAT 135 35 2:111:9me DELHI,,,,NEW DELHI,8165038170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170019,,2017-02-26,NORTH AVENUE,08:35,279/337,,
1 IPC 1860,"IIIRD FLOOR OPD, DR. RML HOSPITAL, NEW DELHI",2017-02-27,2017-02-27,Monday,NEW DELHI,8165038170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170020,4,2017-02-28,NORTH AVENUE,15:25,379,12:00,12:00
1 IPC 1860,"SISTER'S CHANGING ROOM, DR. RML HOSPITAL, NEW DELHI",2017-03-04,2017-03-04,Saturday,NEW DELHI,8165038170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170021,,2017-03-04,NORTH AVENUE,20:15,380,14:00,16:45
1 IPC 1860,"PSYCATRIC DEPT, MALE WARD, BED NO. 6, DR. RML HOSPITAL, NEW DELHI",2017-03-07,2017-03-07,Tuesday,NEW DELHI,8165038170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170022,3,2017-03-07,NORTH AVENUE,16:05,363,08:00,08:00
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 816503807",,,,NEW DELHI,8165038170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170023,,,NORTH AVENUE,,354/506,23/03/2017,23/03/2017
1 IPC 1860,"arm-an Way STOP, NEW DELHI",2017-03-29,2017-03-29,Wednesday,NEW DELHI,8165038170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170024,1,2017-03-29,NORTH AVENUE,15:05,279/337,00:00,00:00
1 IPC 1860,,,,,NEW DELHI,8165038170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170025,,2017-04-01,NORTH AVENUE,18:30,279/337,,
