pstation,p_Abetment of suicide,p_Causing hurt-Criminal intimidation-wrong restraint,p_Causing hurt-mischief-wrong restraint,p_Causing hurt-wrong restraint,p_Concealment of birth,p_Criminal breach of trust,p_Criminal breach of trust-cheating,p_Criminal intimidation,p_Disobedience to pub. Serv. Order,p_Disobedience to pub. Serv. Order-hurting public servant,p_Kidnapping,p_Negligence conduct,p_Negligence conduct-Negligent conduct,p_Negligent conduct,p_Negligent conduct-endangering safety of others,p_Negligent conduct-public nuisance,p_Others,p_Rape,p_Rash driving,p_Robbery,p_Snatching,p_Stalking,p_Theft,p_Theft by clerk,p_cheating,p_corruption,p_culpable homicide,p_domestic abuse,p_endangering safety of others,p_false property acquisuition-hurting public servant,p_grievous hurt,p_house-trespass,p_hurt by dangerous weapons,p_hurt by dangerous weapons-wrong restraint,p_mischief,p_murder,p_obstruction by a person,p_obstruction by a person-public nuisance,p_sexual harrasement
ADARSH NAGAR,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,7,1,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,2
ALIPUR,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,2,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AMAN VIHAR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AMAR COLONY,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,3,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AMBEDKAR NAGAR,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,2,0,0,1,8,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1
ASHOK VIHAR,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,2,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0
BABA HARIDAS NAGAR,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3
BADARPUR,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,6,1,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
BARA HINDU RAO,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,0,7,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1
BARAKHAMBA ROAD,0,0,0,1,0,0,10,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1
BAWANA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,3,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
BEGUM PUR,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,7,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1
BHAJAN PURA,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,3,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,5,1,0
BHALSWA DAIRY,0,1,0,1,0,0,0,0,4,0,4,0,0,0,0,0,1,3,2,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BHARAT NAGAR,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,5,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,3
BINDA PUR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BURARI,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,0,3,0,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CHANKYA PURI,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,10,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CHHAWALA,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,7,2,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CHITRANJAN PARK,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,6,0,2
CIVIL LINES,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONNAUGHT PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,13,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2
CRIME BRANCH,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFENCE COLONY,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,5,1,4,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4
DELHI CANTT,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DWARKA NORTH,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
DWARKA SOUTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6,1
ECONOMIC OFFENCES WING,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATEHPUR BERI,0,0,0,2,0,0,0,0,10,0,2,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1
