Section,Offence
177,Furnish false info
186,Disobedience to pub. Serv. Order
195A,Threatening to give false evidence
269,Negligent conduct
279,Rash driving
283,obstruction by a person
295A,hate speech
302,murder
304,culpable homicide
304A,Negligence conduct
304B,Dowry death
306,Abetment of suicide
307,murder
308,culpable homicide
318,Concealment of birth
323,Causing hurt
354D,Stalking
363,Kidnapping
376,Rape
377,Unnatural offence
379,Theft
384,Extortion
392,Robbery
395,Robbery
406,Criminal breach of trust
411,Theft
420,cheating
498A,domestic abuse
500,Defamation
506,Criminal intimidation
509,sexual harrasement
4893,
288,Negligent conduct
285,Negligent conduct
393,Robbery
50‘,
419,cheating
354J,
14,
342,wrongful confinement
507,Criminal intimidation
435,Illegal explosives
467,
17,
327,Voluntarily causing hurt
397,Robbery
313,Women abuse
51,
354D.,Stalking
174A,
290,public nuisance
5,
20,
380,Theft
135,
3540,
336,endangering safety of others
224,obstruction by a person
8,
356,Snatching
337,endangering safety of others
1,
498A1,
453,house-trespass
448,house-trespass
451,house-trespass
54,
1203,
270,Negligent conduct
289,Negligent conduct
34,
385,Threatening a person 
471,
452,house-trespass
338,endangering safety of others
466A,
188,Disobedience to pub. Serv. Order
42,
55,
38,
429,mischief by killing
134,
366,Kidnapping
482,using false property
381,Theft by clerk
427,mischief
24,
50,
328,
430,mischief
4890,
201,clearing evidence
354A,sexual harrasement
3,
160,
58d,
354,sexual harrasement
341,wrong restraint
12,
354B,Women abuse
59,
436,mischief by fire
29,
353,hurting public servant
403,missapropriation of property
468,cheating
457,house-trespass
1208,
32,
109,
454,house-trespass
52,
511,offences punishable
461,false property acquisuition
9,
268,public nuisance
382,Theft
324,hurt by dangerous weapons
287,Negligent conduct
12OB,
33,
332,hurting public servant
27,
25,
325,grievous hurt
394,Robbery
31,
174,
58,
408,corruption
365,Kidnapping
