acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,full_charge,group_charge
1 IPC 1860,OPD IST FLOOR EYE DEPARTMENT % amen NEW DELHI,2016-12-27,2016-12-27,Tuesday,NEW DELHI,8165038170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170002,4,2017-01-02,NORTH AVENUE,18:10,328/380,09:00,11:00,Theft,Theft
1 IPC 1860,"Uﬁaﬁq-Td mn‘ CROSSING 143%? ﬁrst, NEW DELHI",2017-01-05,2017-01-05,Thursday,NEW DELHI,8165038170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170003,4,2017-01-05,NORTH AVENUE,13:30,279/337,11:15,11:15,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,"arm-an ﬁg HUI—c: BUS STOP, NEW DELHI",2017-01-07,2017-01-07,Saturday,NEW DELHI,8165038170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170006,7,2017-01-07,NORTH AVENUE,21:55,279/337,19:30,19:30,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 816503808",,,,NEW DELHI,8165038170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170009,,,NORTH AVENUE,,354,15/01/2017,15/01/2017,sexual harrasement,sexual harrasement
1 IPC 1860,"NEAR GATE No.6 RML HOSPITAL, INFRONT OF LOUNDRY, NEW DELHI",2017-01-20,2017-01-20,Friday,NEW DELHI,8165038170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170011,,2017-01-20,NORTH AVENUE,19:00,379/427,14:00,16:00,Theft-mischief,Theft
1 IPC 1860,"PANDIT PANT MARG 143123 ROAD, m :ﬁm Thar mm, N.D.",2017-02-07,2017-02-07,Tuesday,NEW DELHI,8165038170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170016,6,2017-02-07,NORTH AVENUE,17:30,279,16:00,16:00,Rash driving,Rash driving
1 IPC 1860,NORTH AVENUE RD. MP FLAT 135 35 2:111:9me DELHI,,,,NEW DELHI,8165038170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170019,,2017-02-26,NORTH AVENUE,08:35,279/337,,,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 816503807",,,,NEW DELHI,8165038170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170023,,,NORTH AVENUE,,354/506,23/03/2017,23/03/2017,Criminal intimidation-sexual harrasement,sexual harrasement
1 IPC 1860,"arm-an Way STOP, NEW DELHI",2017-03-29,2017-03-29,Wednesday,NEW DELHI,8165038170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170024,1,2017-03-29,NORTH AVENUE,15:05,279/337,00:00,00:00,Rash driving-endangering safety of others,Rash driving
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 816503808",,,,NEW DELHI,8165038170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8165038170026,,,NORTH AVENUE,,376,30/03/2017,30/03/2017,Rape,Rape
